1	3	3
1	23	2
1	32	5
1	55	4
1	22	5
1	11	2
1	6	4
1	91	1
1	33	3
1	54	3
1	88	1
1	7	2
1	84	5
2	98	3
2	55	1
2	76	3
2	93	2
2	84	1
2	25	3
2	45	2
2	13	3
2	94	2
2	60	3
2	23	3
2	66	2
3	70	4
3	57	2
3	65	2
3	16	2
3	9	5
3	2	2
3	28	3
3	55	2
3	32	4
3	37	5
3	87	1
3	45	3
3	74	3
3	33	3
4	43	2
4	88	5
4	53	4
4	97	2
4	63	2
4	22	2
4	81	2
4	37	3
4	2	4
4	56	2
4	54	1
4	13	3
4	34	2
4	33	3
4	10	1
5	51	5
5	52	4
5	12	2
5	45	2
5	27	3
5	31	4
5	38	2
5	2	3
5	35	2
5	24	2
5	14	2
5	87	3
5	64	1
5	72	2
6	25	2
6	37	3
6	48	4
6	82	3
6	10	2
6	78	5
6	6	3
6	5	3
6	2	2
6	68	2
6	98	2
6	88	4
6	55	2
7	56	2
7	17	3
7	48	4
7	52	1
7	5	2
7	36	4
7	15	3
7	7	3
7	97	1
7	35	3
7	78	4
7	29	3
7	67	3
8	81	1
8	73	3
8	79	1
8	80	3
8	19	2
8	24	1
8	62	1
8	88	3
8	32	3
8	58	1
8	67	1
8	43	2
8	70	3
8	87	5
8	61	4
9	15	3
9	33	2
9	25	1
9	75	3
9	2	5
9	59	3
9	76	2
9	88	4
9	36	1
9	81	4
9	11	2
9	84	2
9	13	2
9	42	2
9	78	4
9	23	1
9	74	4
9	65	3
9	66	3
9	53	5
10	80	2
10	89	2
10	9	4
10	18	1
10	12	3
10	14	4
10	27	4
10	26	3
10	17	3
10	56	5
10	31	1
10	69	3
10	15	3
10	74	3
10	58	3
11	94	1
11	17	3
11	42	2
11	10	2
11	98	3
11	51	4
11	58	3
11	7	1
12	48	1
12	49	2
12	76	2
12	11	2
12	33	3
12	8	2
12	74	3
12	27	2
12	88	2
12	52	1
12	79	1
12	96	2
12	83	3
12	85	2
12	40	2
12	55	2
12	25	2
12	20	2
12	50	1
13	40	3
13	4	3
13	86	2
13	38	2
13	80	4
13	87	3
13	24	1
13	96	3
13	77	2
14	58	4
14	22	4
14	12	3
14	80	2
14	97	3
14	47	4
14	14	3
14	3	5
14	87	3
15	53	2
15	80	3
15	32	4
15	71	2
15	33	3
15	28	3
15	94	2
15	15	2
15	8	4
15	6	3
15	35	3
15	87	2
15	68	3
15	57	3
16	34	2
16	21	2
16	77	2
16	75	2
16	63	3
16	22	5
16	55	4
16	28	4
16	8	3
16	87	3
16	12	3
16	92	3
16	36	1
16	15	1
16	49	2
17	95	2
17	92	2
17	41	4
17	83	2
17	80	4
17	26	4
17	79	2
17	4	4
17	55	4
17	19	3
